,tradeDate,B&H,action,operation,return
0,2021-11-23,10000.0,0.0,0,10000.0
1,2021-11-24,9993.865000000002,0.0,0,10000.0
2,2021-11-25,9965.643999999998,0.0,0,10000.0
3,2021-11-26,9975.46,0.0,0,10000.0
4,2021-11-29,9995.092,0.0,0,10000.0
5,2021-11-30,10046.626,0.0,0,10000.0
6,2021-12-01,9986.503,0.0,0,10000.0
7,2021-12-02,10079.755,0.0,0,10000.0
8,2021-12-03,10000.0,0.0,0,10000.0
9,2021-12-06,9938.65,0.0,0,10000.0
10,2021-12-07,10084.663,0.0,0,10000.0
11,2021-12-08,10094.479,0.0,0,10000.0
12,2021-12-09,10090.798,0.0,0,10000.0
13,2021-12-10,10112.883999999998,0.0,0,10000.0
14,2021-12-13,10088.344,0.0,0,10000.0
15,2021-12-14,10076.074,0.0,0,10000.0
16,2021-12-15,10168.098999999998,0.0,0,10000.0
17,2021-12-16,10096.933,0.0,0,10000.0
18,2021-12-17,9938.65,0.0,0,10000.0
19,2021-12-20,10013.497,0.0,0,10000.0
20,2021-12-21,10055.215,0.0,0,10000.0
21,2021-12-22,10111.657,0.0,0,10000.0
22,2021-12-23,10052.761,0.0,0,10000.0
23,2021-12-24,10030.675,0.0,0,10000.0
24,2021-12-27,10038.036999999998,0.0,0,10000.0
25,2021-12-28,10012.27,0.0,0,10000.0
26,2021-12-29,10084.663,0.0,0,10000.0
27,2021-12-30,10136.196999999998,0.0,0,10000.0
28,2021-12-31,10144.786,0.0,0,10000.0
29,2022-01-04,9946.012,0.0,0,10000.0
30,2022-01-05,9958.282,1.0,1,10000.0
31,2022-01-06,9907.975,0.0,0,9949.488
32,2022-01-07,9909.202,1.0,0,9950.72
33,2022-01-10,9851.533,1.0,0,9892.816
34,2022-01-11,9919.017999999998,1.0,0,9960.576
35,2022-01-12,9808.588,0.0,0,9849.696
36,2022-01-13,9761.961999999998,1.0,0,9802.879999999996
37,2022-01-14,9858.895,1.0,0,9900.208
38,2022-01-17,9876.073,0.0,0,9917.455999999998
39,2022-01-18,9819.631,0.0,0,9860.784
40,2022-01-19,9742.33,0.0,0,9783.168
41,2022-01-20,9639.262,1.0,0,9679.679999999998
42,2022-01-21,9626.992,1.0,0,9667.36
43,2022-01-24,9311.653,0.0,0,9350.736
44,2022-01-25,9346.009,1.0,0,9385.232
45,2022-01-26,9122.695,0.0,0,9161.008
46,2022-01-27,9060.118,1.0,0,9098.176
47,2022-01-28,9190.18,1.0,0,9228.768
48,2022-02-07,9299.383,0.0,0,9338.416
49,2022-02-08,9426.990999999998,0.0,0,9466.544
50,2022-02-09,9425.763999999996,0.0,0,9465.311999999998
51,2022-02-10,9312.88,0.0,0,9351.968
52,2022-02-11,9233.125,0.0,0,9271.888
53,2022-02-14,9314.106999999998,0.0,0,9353.2
54,2022-02-15,9333.739,0.0,0,9372.912
55,2022-02-16,9336.193,0.0,0,9375.376
56,2022-02-17,9419.628999999995,0.0,0,9459.151999999998
57,2022-02-18,9461.346999999998,0.0,0,9501.039999999995
58,2022-02-21,9355.825,0.0,0,9395.088
59,2022-02-22,9494.476,0.0,0,9534.304
60,2022-02-23,9331.285,0.0,0,9370.448
61,2022-02-24,9397.543,0.0,0,9436.976
62,2022-02-25,9445.396,0.0,0,9485.024
63,2022-02-28,9469.936,0.0,0,9509.664
64,2022-03-01,9473.617,0.0,0,9513.36
65,2022-03-02,9462.574,0.0,0,9502.272
66,2022-03-03,9397.543,0.0,0,9436.976
67,2022-03-04,9182.818,0.0,0,9221.376
68,2022-03-07,8842.938999999998,0.0,0,8880.112
69,2022-03-08,8689.563999999998,1.0,0,8726.112
70,2022-03-09,8828.215,1.0,0,8865.328
71,2022-03-10,8953.368999999999,0.0,0,8990.991999999998
72,2022-03-11,8719.011999999999,0.0,0,8755.679999999998
73,2022-03-14,8204.899,0.0,0,8239.472
74,2022-03-15,8493.243999999999,1.0,0,8528.991999999998
75,2022-03-16,8631.894999999999,0.0,0,8668.208
76,2022-03-17,8720.239,0.0,0,8756.912
77,2022-03-18,8753.368,0.0,0,8790.176
78,2022-03-21,8755.821999999998,0.0,0,8792.64
79,2022-03-22,8814.717999999999,0.0,0,8851.776
80,2022-03-23,8747.233,0.0,0,8784.016
81,2022-03-24,8635.576,0.0,0,8671.904
82,2022-03-25,8665.024,0.0,0,8701.472
83,2022-03-28,8618.398,0.0,0,8654.655999999999
84,2022-03-29,8804.901999999998,0.0,0,8841.919999999998
85,2022-03-30,8728.828000000001,0.0,0,8765.536000000002
86,2022-03-31,8788.951,0.0,0,8825.904
87,2022-04-01,8769.319,0.0,0,8806.192
88,2022-04-06,8570.545,0.0,0,8606.608
89,2022-04-07,8598.766,0.0,0,8634.944
90,2022-04-08,8325.144999999999,0.0,0,8360.208
91,2022-04-11,8461.341999999999,0.0,0,8496.96
92,2022-04-12,8338.641999999998,0.0,0,8373.759999999998
93,2022-04-13,8449.071999999998,0.0,0,8484.64
94,2022-04-14,8372.998000000001,0.0,0,8408.256000000001
95,2022-04-15,8380.36,0.0,0,8415.648000000001
96,2022-04-18,8407.354,0.0,0,8442.752
97,2022-04-19,8213.488,0.0,0,8248.096
98,2022-04-20,7960.726,0.0,0,7994.304
99,2022-04-21,7912.873000000001,0.0,0,7946.256000000001
100,2022-04-22,7396.306,1.0,0,7427.584
101,2022-04-25,7261.335999999999,1.0,0,7292.063999999999
102,2022-04-26,7505.508999999999,1.0,0,7537.231999999999
103,2022-04-27,7484.65,0.0,0,7516.288
104,2022-04-28,7791.4,0.0,0,7824.288
105,2022-04-29,7845.387999999999,0.0,0,7878.496
106,2022-05-05,7669.926999999998,0.0,0,7702.319999999998
107,2022-05-06,7737.411999999999,0.0,0,7770.08
108,2022-05-09,7867.473999999999,0.0,0,7900.672
109,2022-05-10,7920.235000000001,0.0,0,7953.648000000001
110,2022-05-11,7926.370000000002,0.0,0,7959.808000000002
111,2022-05-12,8017.1680000000015,0.0,0,8050.9760000000015
112,2022-05-13,7992.628,0.0,0,8026.336
113,2022-05-16,8035.572999999999,0.0,0,8069.456
114,2022-05-17,8008.579,0.0,0,8042.352
115,2022-05-18,8083.425999999999,0.0,0,8117.504
116,2022-05-19,8208.58,0.0,0,8243.168
117,2022-05-20,8242.936,0.0,0,8277.663999999999
118,2022-05-23,7961.953000000001,0.0,0,7995.536000000002
119,2022-05-24,8089.560999999999,0.0,0,8123.664
120,2022-05-25,8182.813,0.0,0,8217.296
121,2022-05-26,8182.813,0.0,0,8217.296
122,2022-05-27,8226.985,0.0,0,8261.648000000001
123,2022-05-30,8355.82,0.0,0,8391.008
124,2022-05-31,8347.231,0.0,0,8382.384
125,2022-06-01,8447.845000000001,0.0,0,8483.408000000001
126,2022-06-02,8581.588,2.0,2,8617.696
127,2022-06-06,8576.68,2.0,0,8617.696
128,2022-06-07,8636.803,0.0,0,8617.696
129,2022-06-08,8532.508,2.0,0,8617.696
130,2022-06-09,8688.336999999998,0.0,0,8617.696
131,2022-06-10,8662.57,2.0,0,8617.696
132,2022-06-13,8750.913999999999,0.0,0,8617.696
133,2022-06-14,8714.104,2.0,0,8617.696
134,2022-06-15,8727.601,2.0,0,8617.696
135,2022-06-16,8811.036999999998,2.0,0,8617.696
136,2022-06-17,8811.036999999998,2.0,0,8617.696
137,2022-06-20,8747.233,0.0,0,8617.696
138,2022-06-21,8611.035999999998,0.0,0,8617.696
139,2022-06-22,8801.221,0.0,0,8617.696
140,2022-06-23,8903.061999999998,0.0,0,8617.696
141,2022-06-24,8939.871999999998,2.0,0,8617.696
142,2022-06-27,9090.793,2.0,0,8617.696
143,2022-06-28,8947.233999999999,2.0,0,8617.696
144,2022-06-29,9017.173,0.0,0,8617.696
145,2022-06-30,9001.221999999998,0.0,0,8617.696
146,2022-07-01,9110.425,0.0,0,8617.696
147,2022-07-04,9098.155,2.0,0,8617.696
148,2022-07-05,8980.363,0.0,0,8617.696
149,2022-07-06,9017.173,0.0,0,8617.696
